name,school_affiliation,keywords
Pavel I. Etingof,mathematics,"Nonsymmetric Macdonald polynomials via integrable vertex models; Reflection fusion categories; On faithfulness of the lifting for Hopf algebras and fusion categories; Relations in Quantized Function Algebras; Invariant Hopf 2-Cocycles for Affine Algebraic Groups; p-adic dimensions in symmetric tensor categories in characteristic p; Koszul duality and the PBW theorem in symmetric tensor categories in positive characteristic; A Tannakian Interpretation of the Elliptic Infinitesimal Braid Lie Algebras; Poisson traces, D-modules, and symplectic resolutions; Double Affine Hecke Algebras and Their Applications; Cherednik and Hecke Algebras of Varieties with a Finite Group Action; Proof of the Broué–Malle–Rouquier Conjecture in Characteristic Zero (After I. Losev and I. Marin—G. Pfeiffer); Exact sequences of tensor categories with respect to a module category; Finite dimensional Hopf actions on algebraic quantizations; Hopf coactions on commutative algebras generated by a quadratically independent comodule; Finite dimensional Hopf actions on deformation quantizations; Pointed Hopf actions on fields, II; A PI degree theorem for quantum deformations; Finite dimensional Hopf actions on Weyl algebras; Representation theory in complex rank, II"
Lawrence Guth,mathematics,"A sharp square function estimate for the cone in
                    ℝ<sup>3</sup>; Algebraic curves, rich points, and doubly-ruled surfaces; Polynomial Wolff axioms and Kakeya-type estimates in R4; 2-Complexes with Large 2-Girth; A sharp Schrödinger maximal estimate in  R[superscript 2]; Polynomial partitioning and incidence problems in higher dimensions; Recent progress in quantitative topology; Proof of the main conjecture in Vinogradov's Mean Value Theorem for degrees higher than three; Degree reduction and graininess for Kakeya-type sets in R[superscript 3]; Amenable groups and smooth topology of 4-manifolds; Volumes of balls in Riemannian manifolds and Uryson width; A restriction estimate using polynomial partitioning; The joints problem for matroids; On the Erdős distinct distances problem in the plane; A short proof of the multilinear Kakeya inequality; Distinct Distance Estimates and Low Degree Polynomial Partitioning; A family of maps with many small fibers; Quantum error correcting codes and 4-dimensional arithmetic hyperbolic manifolds; Contraction of Areas vs. Topology of Mappings; Unexpected Applications of Polynomials in Combinatorics"
Anette E. Hosoi,mathematics,"Public health implications of opening National Football League stadiums during the COVID-19 pandemic; Estimating the filtration efficacy of cloth masks; Corrsin lecture on hairy hydrodynamics; Moving Forward with the New Engineering Education Transformation (NEET) program at MIT - Building community, developing projects, and connecting with industry; Drop impact on hairy surfaces; Dynamic Sealing Using Magnetorheological Fluids; Luck and the Law: Quantifying Chance in Fantasy Sports and Other Contests; Thin films in partial wetting: stability, dewetting and coarsening; Viscous entrainment on hairy surfaces; Building and controlling fluidically actuated soft robots : from open loop to model-based control; Slender elastic swimmers : kinematics, dynamics, and robotic applications; Mechanics of swellable elastomeric seals; Air entrainment in hairy surfaces; Flexigami : folded polygonal unit cells for deployable metamaterials and mechanisms; LineFORM: designing interactions with actuated curve interfaces; Passive phloem loading and long-distance transport in a synthetic tree-on-a-chip; Bio-Inspired, Low-Cost, Self-Regulating Valves for Drip Irrigation in Developing Countries; Coarsening and solidification via solvent-annealing in thin liquid films; Capillary flows in flexible structures"
David S. Jerison,mathematics,
Steven G. Johnson,mathematics,
Victor Kac,mathematics,
Kenneth N. Kamrin,mathematics,
Jonathan Adam Kelner,mathematics,
Ju-Lee Kim,mathematics,"Limits and fluctuations of p-adic random matrix products; Asymptotic behavior of supercuspidal representations and Sato-Tate equidistribution for families; Jordan decompositions of cocenters of reductive ����-adic groups; On total Springer representations; Gaussian free field, Schramm-Loewner evolution and Liouville quantum gravity; Construction of Tame Types; Asymptotics and Local Constancy of Characters of p-adic Groups; Mirror symmetry and the K theory of a p-adic group; The unramified principal series of p-adic groups : the Bessel function; On the Characters of Unipotent Representations of a Semisimple P-Adic Group; On the Steinberg character of a semisimple p-adic group; Structure of classical W-algebras; Deformations of characters, metaplectic Whittaker functions, and the Yang-Baxter equation; Twisted Levi Sequences and Explicit Styles on Sp(4); Nilpotent orbits in bad characteristic and the Springer correspondence; On trigonometric and elliptic Cherednik algebras; A Lie-theoretic construction of some representations of the degenerate affine and double affine Hecke algebras of type BCn; Single-petaled K-types and Weyl group representations for classical groups"
Frank Thomson Leighton,mathematics,"Scalable and Efficient Graph Algorithms and Analysis Techniques for Modern Machines; Reducibility and Statistical-Computational Gaps from Secret Leakage; Breaking barriers in secret sharing; Upward Partitioned Book Embeddings; Improved distributed algorithms for fundamental graph problems; Design and applications of a secure and decentralized Distributed Hash Table; Vertex Sparsifiers and Abstract Rounding Algorithms; Extensions and limits to vertex sparsification; The Internet & the future of news; Some Results on Greedy Embeddings in Metric Spaces; An analysis of network routing and communication latency; Small-depth counting networks and related topics; Techniques for computing with low-independence randomness; Subcubic Equivalences Between Graph Centrality Problems, APSP and Diameter"
George Lusztig,mathematics,"Coordinate rings and birational charts; Endoscopy for affine Hecke categories; On induction of class functions; Reducing mod 𝑝 complex representations of finite reductive groups; TOTAL POSITIVITY IN SPRINGER FIBRES; On Parabolic Restriction of Perverse Sheaves; FOURIER TRANSFORM AS A TRIANGULAR MATRIX; Springer’s work on unipotent classes and Weyl group representations; Combinatorics of affine Springer fibers and combinatorial wall-crossing; Unipotent representations of real reductive groups; The Grothendieck group of unipotent representations: A new basis; Z/m-graded Lie algebras and perverse sheaves, IV; Partial flag manifolds over a semifield; Coxeter submodular functions and deformations of Coxeter permutahedra; ENDOSCOPY FOR HECKE CATEGORIES, CHARACTER SHEAVES AND REPRESENTATIONS; A new basis for the representation ring of a Weyl group; Quivers with subadditive labelings: classification and integrability; POSITIVE GRASSMANNIAN AND POLYHEDRAL SUBDIVISIONS; Some more amplituhedra are contractible; Totally positive spaces : topology and applications"
Davesh Maulik,mathematics,"On the P = W conjecture for                                                           $$SL_n$$                                                S                                      L                    n; On the intersection cohomology of the moduli of SLn$\mathrm{SL}_n$‐Higgs bundles on a curve; Stable and Unstable Shock Formation of the Burgers-Hilbert Equation; Tilting sheaves for real groups and Koszul duality; Large genus bounds for the distribution of triangulated surfaces in moduli space; Multiplicative Structures on Moore spectra; K-stability of Log Fano Cone Singularities; Harish-Chandra Bimodules in Complex Rank; Genera via Deformation Theory and Supersymmetric Mechanics; On product identities and the Chow rings of holomorphic symplectic varieties; Picard ranks of K3 surfaces over function fields and the Hecke orbit conjecture; Stable pairs and Gopakumar–Vafa type invariants for Calabi–Yau 4-folds; WW‐algebras associated to surfaces; Hitchin fibrations, abelian surfaces, and the P=W conjecture; Lipschitz homotopies of mappings from 3-sphere to 2-sphere; Multiplicative Structures on Brown–Peterson Spectra at Odd Primes; Self-intersection of Manin-Drinfeld Cycles and Taylor expansion of L-functions; The K-theoretic Hall Algebra On Surfaces and Categorifications; The Surgery Exact Triangle in Monopole Floer Homology with Z[i] Coefficients; Construction of Deligne Categories through ultrafilters and its applications"
Richard B. Melrose,mathematics,"Resolvents and complex powers of semiclassical cone operators; Genera via Deformation Theory and Supersymmetric Mechanics; The Fock-Schwartz spin representation space; Black hole gluing in de Sitter space; Bigerbes; Asymptotic description of the formation of black holes from short-pulse data; Microlocal analysis of forced waves; Boundary Behaviour of Weil–Petersson and Fibre Metrics for Riemann Moduli Spaces; Geometry of pseudodifferential algebra bundles and Fourier integral operators; Resolution of the canonical fiber metrics for a lefschetz fibration; Dynamical zeta functions for Anosov flows via microlocal analysis; Stochastic stability of Pollicott–Ruelle resonances; The eleven dimensional supergravity equations, resolutions and Lefschetz fiber metrics; Loop-fusion cohomology and transgression; Generalized blow-up of corners and fiber products; Analytic Continuation and Semiclassical Resolvent Estimates on Asymptotically Hyperbolic Spaces; Asymptotics of Solutions of the Wave Equation on de Sitter-Schwarzschild Space; Adiabatic Limit, Heat Kernel and Analytic Torsion; Radiation field for Einstein vacuum equations; Index theorems and magnetic monopoles on asymptotically conic manifolds"
Ankur Moitra,mathematics,
Elchanan Mossel,mathematics,
Tomasz S. Mrowka,mathematics,
Pablo A. Parrilo,mathematics,
Bjorn Poonen,mathematics,
Alexander Postnikov,mathematics,"Higher secondary polytopes and regular plabic graphs; Inequalities and Asymptotic Formulas in Algebraic Combinatorics; Symmetric structures in the weak and strong Bruhat orders; Universal Tutte polynomial; New combinatorics of the weak and strong Bruhat orders; Self-dual intervals in the Bruhat order; Self-dual intervals in the Bruhat order; Flip cycles in plabic graphs; Coxeter submodular functions and deformations of Coxeter permutahedra; POSITIVE GRASSMANNIAN AND POLYHEDRAL SUBDIVISIONS; R-systems; Some more amplituhedra are contractible; Totally positive spaces : topology and applications; Point processes of representation theoretic origin; Root System Chip-Firing II: Central-Firing; A positive formula for the Ehrhart-like polynomials from root system chip-firing; Weak Separation, Pure Domains and Cluster Distance; Root system chip-firing; Root system chip-firing I: interval-firing; Proof of a conjecture of Bergeron, Ceballos and Labbé"
Philippe Rigollet,mathematics,"Estimation of Wasserstein distances in the Spiked Transport Model; Polynomial-time algorithms for multimarginal optimal transport problems with structure; Sparse Multi-Reference Alignment: Phase Retrieval, Uniform Uncertainty Principles and the Beltway Problem; An Algorithmic Solution to the Blotto Game using Multi-marginal Couplings; Testing, Learning, and Optimization in High Dimensions; Thermodynamic and topological characterization of living systems; Probabilistic modeling and Bayesian inference via triangular transport; On the Power of Preconditioning in Sparse Linear Regression; Online and Distribution-Free Robustness: Regression and Contextual Bandits with Huber Contamination; Fast convergence of empirical barycenters in Alexandrov spaces and the Wasserstein space; Rejection sampling from shape-constrained distributions in sublinear time; Sparse Learning using Discrete Optimization: Scalable Algorithms and Statistical Insights; Rethinking Algorithm Design for Modern Challenges in Data Science; Graphs, Principal Minors, and Eigenvalue Problems; Interpolating Spline Curves of Measures; Reducibility and Statistical-Computational Gaps from Secret Leakage; Data-Driven Operations in Changing Environments; Machine learning and causality: Building efficient, and reliable models for decision-making; Combinatorial Methods in Statistics; Data Driven Operations: From Algorithm Development to Experimental Design"
Rodolfo R. Rosales,mathematics,"Collective vibrations of a hydrodynamic active lattice; Applied math in geophysical fluids : partially trapped wave problems and mining plumes; Unconditional Stability for Multistep ImEx Schemes: Theory; Equation Level Matching: An Extension of the Method of Matched Asymptotic Expansion for Problems of Wave Propagation; The onset of chaos in orbital pilot-wave dynamics; Pilot-wave hydrodynamics in a rotating frame: Exotic orbits; Study of a Model Equation in Detonation Theory; A trajectory equation for walking droplets : hydrodynamic pilot-wave theory; Constructing set-valued fundamental diagrams from Jamiton solutions in second order traffic models; Leaky Rigid Lid: New Dissipative Modes in the Troposphere; Model for Shock Wave Chaos; Bouncing and walking droplets : towards a hydrodynamic pilot-wave theory; Jet schemes for advection problems; Ripples in a string coupled to Glauber spins; A correction function method to solve incompressible fluid flows to high accuracy with immersed geometries; A Correction Function Method for Poisson problems with interface jump conditions; Modeling a bender element test using Abaqus Finite Element Program; A gradient-augmented level set method with an optimally local, coherent advection scheme; Self-sustained nonlinear waves in traffic flow; 2.062J / 1.138J / 18.376J Wave Propagation, Fall 2006"
Paul Seidel,mathematics,Covariant constancy of quantum Steenrod operations; Monopoles and Landau-Ginzburg Models; Spectral Fukaya Categories for Liouville Manifolds; The Surgery Exact Triangle in Monopole Floer Homology with Z[i] Coefficients; Fukaya A∞-structures associated to Lefschetz fibrations. III; Fukaya A∞-structures associated to Lefschetz fibrations. V; Contributions to sutured monopole and sutured instanton Floer homology theories; Semi-infinite Homology of Floer spaces; Fukaya A∞-structures associated to Lefschetz fibrations. IV 1/2; Distinguishing open symplectic mapping tori via their wrapped Fukaya categories; Graceful codes : fundamental limits and constructions; Connections on equivariant Hamiltonian Floer cohomology; Mayer-Vietoris property for relative symplectic cohomology; Fukaya A∞-structures associated to Lefschetz fibrations. II 1/2; Monopoles and Pin(2)-symmetry; The quantum Johnson homomorphism and symplectomorphism of 3-folds; Equivariant quantum cohomology and the geometric Satake equivalence; Picard–Lefschetz theory and dilating ℂ*-actions; The equivariant pair-of-pants product in fixed point Floer cohomology; A-infinity algebras for Lagrangians via polyfold theory for Morse trees with holomorphic disks
Scott Roger Sheffield,mathematics,"Liouville quantum gravity spheres as matings of finite-diameter trees; Liouville quantum gravity and the Brownian map I: the QLE (8 / 3 , 0) metric; Bipolar orientations on planar maps and SLE12; Harmonic functions on mated-CRT maps; CLE PERCOLATIONS; Six-vertex model and Schramm-Loewner evolution; Quantum gravity and inventory accumulation; Quantum Loewner evolution; Conformal weldings of random surfaces: SLE and the quantum gravity zipper; Imaginary geometry III: reversibility of SLEκ for κ ∈ (4, 8); Imaginary geometry II: Reversibility of SLE[subscript κ](ρ[subscript 1];ρ[subscript 2]) for κ ∈ (0,4); Imaginary geometry I: interacting SLEs; Fractional Gaussian fields: A survey; Simple CLE in doubly connected domains; Critical Gaussian multiplicative chaos: Convergence of the derivative martingale; Renormalization of Critical Gaussian Multiplicative Chaos and KPZ Relation; Internal DLA and the Gaussian free field; Tricolor percolation and random paths in 3D; A Duality Principle for Selection Games; Deterministic Approximations of Random Reflectors"
Peter W. Shor,mathematics,Tower: Data Structures in Quantum Superposition; Features and Applications of Random Unitaries; Twist: Sound Reasoning for Purity and Entanglement in Quantum Programs; New Cosystolic Expanders from Tensors Imply Explicit Quantum LDPC Codes with $\Omega(\sqrt{n}\log^k n)$ Distance; Improved Tools for Local Hamiltonians; On Near-Term Quantum Computation: Theoretical Aspects of Variational Quantum Algorithms and Quantum Computational Supremacy; Superconducting qubit readout pulse optimization using deep reinforcement learning; Parallelism in Randomized Incremental Algorithms; Randomized Incremental Convex Hull is Highly Parallel; Emergence of simple patterns in many-body systems: from macroscopic objects to the atomic nucleus; New hardness results for total search problems and non-interactive lattice-based protocols; Quantum efficiency of Josephson traveling wave parametric amplifiers with many-Mode processes; Opportunities for U.S.-China scientific collaboration in building a bilateral quantum network; Enhanced light-atom interaction in an optical resonator; Hardware-efficient quantum error correction with nitrogen-vacancy centers; Operational quantum resource theories : unified framework and applications; Entropy Bound for the Classical Capacity of a Quantum Channel Assisted by Classical Feedback; Superadditivity in trade-off capacities of quantum channels; Limitations of Semidefinite Programs for Separable States and Entangled Games; Three complexity classification questions at the quantum/classical boundary
Michael Sipser,mathematics,
Gigliola Staffilani,mathematics,
Gilbert Strang,mathematics,
Daniel W. Stroock,mathematics,
Martin Wainwright,mathematics,
Zhiwei Yun,mathematics,"On the P = W conjecture for                                                           $$SL_n$$                                                S                                      L                    n; Euphotic representations and rigid automorphic data; Tilting sheaves for real groups and Koszul duality; K-stability of Log Fano Cone Singularities; Hitchin fibrations, abelian surfaces, and the P=W conjecture; Self-intersection of Manin-Drinfeld Cycles and Taylor expansion of L-functions; The K-theoretic Hall Algebra On Surfaces and Categorifications; Endoscopy for affine Hecke categories; Higher Signs for Coxeter Groups; Endoscopic decompositions and the Hausel–Thaddeus conjecture; Minimal reduction type and the Kazhdan–Lusztig map; Shtukas and the Taylor expansion of L-functions (II); Nearby cycles of parahoric shtukas, and a fundamental lemma for base change; Combinatorics of affine Springer fibers and combinatorial wall-crossing; Affine Springer fibers and the representation theory of small quantum groups and related algebras; Unipotent representations of real reductive groups; Z/m-graded Lie algebras and perverse sheaves, IV; The perverse filtration for the hitchin fibration is locally constant; ENDOSCOPY FOR HECKE CATEGORIES, CHARACTER SHEAVES AND REPRESENTATIONS; Remarks on Affine Springer Fibres"
Wei Zhang,mathematics,"Random surface interpretations of two-dimensional Liouville quantum gravity and Yang-Mills theory; Stable and Unstable Shock Formation of the Burgers-Hilbert Equation; Learning the Electrochemistry of Degradation and Safety in Graphite Porous Electrodes for Lithium-ion Batteries; Investigating the role of molecular motors on chromatin organization; Devices and Algorithms for Analog Deep Learning; K-stability of Log Fano Cone Singularities; Battery-Free Subsea Internet-of-Things; Leveraging Structure and Knowledge in Clinical and Biomedical Representation Learning; Integrability in random conformal geometry; Maximum Entropy Optimization: a General Approach to Study Ordered and Disordered Proteins Reveals Key Features of Protein Phase Separation; Shaping light-matter interactions for free-electron radiation and photonic computing; On the arithmetic Siegel–Weil formula for GSpin Shimura varieties; Picard ranks of K3 surfaces over function fields and the Hecke orbit conjecture; Tackling Climate Change with Machine Learning; Classifying and Displaying Brain-waves through Self-supervised Learning; Data-driven Mechanistic Modeling of 3D Human Genome; Generative models for neural time series with structured domain priors; Phonon and electron transport through interfaces and disordered structures; Efficient Sampling Methods of, by, and for Stochastic Dynamical Systems; On the Beilinson–Bloch–Kato conjecture for Rankin–Selberg motives"
Semyon Dyatlov,mathematics,"Resolvents and complex powers of semiclassical cone operators; The Ruelle zeta function at zero for nearly hyperbolic 3-manifolds; An efficient algorithm for sensitivity analysis of chaotic systems; Around quantum ergodicity; Nuclear Computations under Uncertainty New methods to infer and propagate nuclear data uncertainty across Monte Carlo simulations; The Dunkl weight function for rational Cherednik algebras; Asymptotic description of the formation of black holes from short-pulse data; A Monte Carlo framework for nuclear data uncertainty propagation via the windowed multipole formalism; Improved fractal Weyl bounds for hyperbolic manifolds. With an appendix by David Borthwick, Semyon Dyatlov and Tobias Weich; An introduction to fractal uncertainty principle; Microlocal analysis of forced waves; Semiclassical measures on hyperbolic surfaces have full support; Spectral gaps without the pressure condition; Dolgopyat’s method and the fractal uncertainty principle; Afterword: Dynamical zeta functions for Axiom A flows; Fractal Uncertainty for Transfer Operators; Viscosity stabilized adjoint method for unsteady compressible Navier-Stokes equations; On representations of rational Cherednik algebras; Applied math in geophysical fluids : partially trapped wave problems and mining plumes; Boundary Behaviour of Weil–Petersson and Fibre Metrics for Riemann Moduli Spaces"
Andrew Lawrie,mathematics,Stable and Unstable Shock Formation of the Burgers-Hilbert Equation; Long Time Dynamics of Spherical Objects Governed by Surface Tension; Uniqueness of Two‐Bubble Wave Maps in High Equivariance Classes; An asymptotic expansion of two-bubble wave maps in high equivariance classes; Asymptotic Stability of Harmonic Maps on the Hyperbolic Plane under the Schrödinger Maps Evolution; The role of smoothing effect in some dispersive equations; Asymptotic description of the formation of black holes from short-pulse data; Scattering for defocusing energy subcritical nonlinear wave equations; Conditional Stable Soliton Resolution for a Semi-linear Skyrme Equation; Two-bubble dynamics for threshold solutions to the wave maps equation; Profiles for the Radial Focusing 4d Energy-Critical Wave Equation; Equivariant wave maps on the hyperbolic plane with large energy; On long time dynamic and singularity formation of NLS; The Cauchy Problem for Wave Maps on Hyperbolic Space in Dimensions d≥ 4
Andrei Negut,mathematics,
Nike Sun,mathematics,
Yufei Zhao,mathematics,
Daniel Alvarez-Gavela,mathematics,
Tristan Collins,mathematics,Random surface interpretations of two-dimensional Liouville quantum gravity and Yang-Mills theory; Singular behaviour and long time behaviour of mean curvature flow; Convergence of complete Ricci-βat manifolds; Sasaki–Einstein metrics and K–stability
Jeremy Hahn,mathematics,"Eilenberg Mac Lane spectra as p$p$‐cyclonic Thom spectra; Multiplicative Structures on Moore spectra; Multiplicative Structures on Brown–Peterson Spectra at Odd Primes; Unstable Modules with Only the Top k Steenrod Operations; Real orientations of Lubin–Tate spectra; On the higher Frobenius; An Orientation map for height p - 1 real E theory; Biomimetic carboxylate-bridged diiron complexes : from solution behavior to modeling the secondary coordination sphere; Operads, modules and higher Hochschild cohomology"
Dor Minzer,mathematics,
Lisa Piccirillo,mathematics,
Lisa Sauermann,mathematics,Extension complexity of low-dimensional polytopes; Finding solutions with distinct variables to systems of linear equations over                                                   $$\mathbb {F}_p$$                                          F                p; Polynomials that vanish to high order on most of the hypercube; A lower bound for the k‐multicolored sum‐free problem in Zmn; Product Space Models of Correlation: Between Noise Stability and  Additive Combinatorics; Regularity and removal lemmas and their applications
Henry Cohn,mathematics,"Lozenge Tilings and the Gaussian Free Field on a Cylinder; Small spherical and projective codes; Symmetric structures in the weak and strong Bruhat orders; Computer-assisted proof of kernel inequalities; A counterexample to the Bollobás–Riordan conjectures on sparse graph limits; Iterative Collaborative Filtering for Sparse Matrix Estimation; Investigations in applied probability and high-dimensional statistics; Coupling sparse models and dense extremal problems; Assorted results in boolean function complexity, uniform sampling and clique partitions of graphs; The method of moments in convolved random matrix models and discrete analogues; Fourier analysis on the hypercube, the coefficient problem, and applications; Exponential improvements for superball packing upper bounds; Probabilistic and extremal behavior in graphs and matrices; An Lp theory of sparse graph convergence I: Limits, sparse random graph models, and power law distributions; Minimax estimation with structured data : shape constraints, causal models, and optimal transport; Near-optimal Coded Apertures for Imaging via Nazarov’s Theorem; Linear algebraic techniques in algorithms and complexity; Restriction of scalars, the Chabauty-Coleman Method, and P¹ \ {0, 1, |}; Limits on All Known (and Some Unknown) Approaches to Matrix Multiplication; Towards an integrated understanding of neural networks"
Jennifer French,mathematics,Scissors congruence and K-theory; Quillen cohomology of pi-algebras and application to their realization by Martin Frankland.; From manifolds to invariants of En̳-algebras; Stochastic and deterministic models for dense granular flow
Slava Gerovitch,mathematics,
Peter J. Kempthorne,mathematics,
Tanya Khovanova,mathematics,
Qing Deng,mathematics,
Marjorie Drake,mathematics,"School, community, home : usuing architecture and urban design in creating an integrated learning environment"
Giada Franz,mathematics,
Promit Ghosal,mathematics,
Jimmy He,mathematics,
Malo Pierig  Jezequel,mathematics,
Aaron Landesman,mathematics,Some results in the arithmetic and geometry of curves; Interpolation for Brill–Noether space curves
Changkeun Oh,mathematics,
Tristan Ozuch-Meersseman,mathematics,
Matthew Rosenzweig,mathematics,
Yair Shenfeld,mathematics,
Jia Shi,mathematics,
Minh-Tam Trinh,mathematics,Minimal reduction type and the Kazhdan–Lusztig map
Abigail Ward,mathematics,
David Yang,mathematics,
Jingze Zhu,mathematics,
Jonathan Zung,mathematics,
Peter Baddoo,mathematics,
Keaton Burns,mathematics,Learning and investigating phenomenological models for active matter; Raman Cooling to High Phase Space Density; Near-inertial waves and turbulence driven by the growth of swell; Numerically modeling the evolution of dust grains in galaxy formation simulations; Ultracold bosons in optical lattices for quantum measurement and simulation; Flexible spectral algorithms for simulating astrophysical and geophysical flows; Generalized Navier-Stokes equations for active turbulence; A matched filter technique for slow radio transient detection and first demonstration with the Murchison Widefield Array
Zongchen  Chen,mathematics,
Gary Choi,mathematics,
Anthony Conway,mathematics,
Nicholas Derr,mathematics,
Felix Gotti,mathematics,Bi-atomic classes of positive semirings
Andrew James Horning,mathematics,
Ousmane Kodio,mathematics,
David Milton Kouskoulas,mathematics,
Beibei Liu,mathematics,
Dominique Maldague,mathematics,Long Time Dynamics of Spherical Objects Governed by Surface Tension; Incidence Estimates for Well Spaced Tubes
Dan Mikulincer,mathematics,Reducibility and Statistical-Computational Gaps from Secret Leakage
Keaton Naff,mathematics,
Arpon Raksit,mathematics,
Melissa Sherman-Bennett,mathematics,
Foster Tom,mathematics,
Kent Vashaw,mathematics,
Anna Weigandt,mathematics,
Andrew Victor Sutherland II,mathematics,
Shiva Chidambaram,mathematics,
Edgar Costa,mathematics,
David Roe,mathematics,"Explicit division and torsion points on superelliptic Curves and jacobians; Obstructions to rational and integral points; Case in Uyghur and beyond; Accounting for taste : regulating food labeling in the ""affluent society,"" 1945-1995; Coleman integration for hyperelliptic curves : algorithms and applications"
Samuel Schiavone,mathematics,
Raymond van Bommel,mathematics,
Michael Artin,mathematics,"Applied natural language processing inspired by fundamental mathematics and physics; Elliptic fibrations among toric hypersurface Calabi-Yau manifolds and mirror symmetry of fibrations; Rotational Unit of Memory: A Novel Representation Unit for RNNs with Scalable Applications; 18.785 Number Theory I, Fall 2017; 18.783 Elliptic Curves, Spring 2017; Invariants of Noncommutative Projective Schemes; Algorithms for safe robot navigation; Sensitivity analysis on chaotic dynamical systems by Non-Intrusive Least Squares Shadowing (NILSS); 18.785 Number Theory I, Fall 2016; Fukaya A∞-structures associated to Lefschetz fibrations. II 1/2; Super-quantum and quantum enhancements of two-sender channels; 18.783 Elliptic Curves, Spring 2015; The Picard Scheme; 18.783 Elliptic Curves, Spring 2013; Noncommutative Artin motives; The Beilinson-Bernstein localization theorem for the affine Grassmannian; MICA workspace : a symbolic computational environment for signal analysis; Establishing global error bounds for model reduction in combustion; On representations of quantum groups and Cherednik algebras; Identifying boosted objects with N-subjettiness and linear k-means clustering"
Daniel Z. Freedman,mathematics,
Harvey P. Greenspan,mathematics,
Victor W. Guillemin,mathematics,On geometric quantization of                                                           $$b^m$$                                                b                  m                                          -symplectic manifolds; Steklov Spectral Geometry for Extrinsic Shape Analysis; Convexity of the moment map image for torus actions on b m -symplectic manifolds; Spectral Properties of Semi-classical Toeplitz Operators; On geometric quantization of b-symplectic manifolds; Symplectic and Poisson geometry on b-manifolds; Semiclassical States Associated with Isotropic Submanifolds of Phase Space; Semi-classical weights and equivariant spectral theory; The generalized Legendre transform and its applications to inverse spectral problems; Canonical forms for perturbations of the harmonic oscillator; Polynomial assignments; Toric Actions on b-Symplectic Manifolds; Book Review: Semi-classical analysis; Equivariant inverse spectral theory and toric orbifolds; Balanced Fiber Bundles and GKM Theory; Band invariants for perturbations of the harmonic oscillator; Semiclassical spectral invariants for Schrodinger operators; Equivariant K-theory of GKM bundles; A Fulling–Kuchment theorem for the 1D harmonic oscillator; A semiclassical heat trace expansion for the perturbed harmonic oscillator
Sigurdur Helgason,mathematics,
Steven L. Kleiman,mathematics,
Daniel J. Kleitman,mathematics,
Haynes R. Miller,mathematics,
James R. Munkres,mathematics,"A generalized label correcting method for optimal kinodynamic motion planning; High-dimensional similarity search and sketching : algorithms and hardness; Conformal loop ensembles and the Gaussian free field; Reachability analysis and deterministic global optimization of differential-algebraic systems; Modelling patient states in intensive care patients; From manifolds to invariants of En̳-algebras; Graphical models and message-passing algorithms for network-constrained decision problems; Coordinate-Independent Computations on Differential Equations; Coordinate-independent computations on differential equations; Conjoint probabilistic subband modeling; Efficiency and performance of some algorithms in mathematical programming; Model-based identification and control of nonlinear dynamic systems using neural networks; A unified framework for hybrid control : b background, model, and theory; Simplicial and cubical complexes : anologies and differences; Topology of hybrid systems; Why you can't build an arbiter; A computation of the action of the mapping class group on isotopy classes of curves and arcs in surfaces; Topology and combinatorics of ordered sets; Topological semivector spaces; convexity and fixed point theory; Semilinear (topological) spaces and applications"
Richard P. Stanley,mathematics,Higher secondary polytopes and regular plabic graphs; Inequalities and Asymptotic Formulas in Algebraic Combinatorics; Symmetric structures in the weak and strong Bruhat orders; Universal Tutte polynomial; Computational Bounds for Doing Harmonic Analysis on Permutation Modules of Finite Groups; New combinatorics of the weak and strong Bruhat orders; The Sperner property for 132‐avoiding intervals in the weak order; Self-dual intervals in the Bruhat order; Self-dual intervals in the Bruhat order; Counting shellings of complete bipartite graphs and trees; Ordering-Based Causal Structure Learning in the Presence of Latent Variables; Stable characters for symmetric groups and wreath products; Local access to huge random objects through partial sampling; Path Counting and Rank Gaps in Differential Posets; A heuristic for boundedness of ranks of elliptic curves; R-systems; Harmonicity and invariance on slices of the Boolean cube; The densities and distributions of the largest eigenvalue and the trace of a Beta–Wishart matrix; A positive formula for the Ehrhart-like polynomials from root system chip-firing; Sasaki–Einstein metrics and K–stability
Harold Stark,mathematics,"18.785 Number Theory I, Fall 2017; 18.785 Number Theory I, Fall 2016; 18.785 Number Theory I, Fall 2015; Theta functions and division points on Abelian varieties of dimension two; Fields of division points of elliptic curves related to Coates-Wiles"
Alar Toomre,mathematics,"Probing local group galactic substructure with cosmological simulations; Polynomial identity testing of read-once oblivious algebraic branching programs; Double streaming at 35 AU during the coronal mass ejections of March 1991; Stochastic and deterministic models for dense granular flow; Kac's random walk and coupon collector's process on posets; Induced-charge electrokinetics at large voltages; On the capacity of the erasure channel and the construction of an [epsilon]-randomizing map; A sphere settling in a stratified fluid at small Reynolds number; Adaptive protocols for the quantum depolarizing channel; Order computations in generic groups; Sampling-based algorithms for dimension reduction; The number of degree sequences of graphs; Computational, statistical and graph-theoretical methods for disease mapping and cluster detection; Comparing products of Schur functions and quasisymmetric functions; Viscous fluid sheets; Algorithmic approaches to graph states under the action of local Clifford groups; Dispersion of mass and the complexity of geometric problems; Multiscale modeling in granular flow; The evolution and specificity of RNA splicing; 18.04 Complex Variables with Applications, Fall 2003"
